clean_tweet,product_updated,clean_sentiment
g iphone hr tweet riseaustin dead need upgrade plugin station,iphone,0
know awesome ipadiphone app youll likely appreciate design also theyre give free t,app,1
not wait ipad also sale,ipad,1
hope year festival isnt crashy year iphone app,app,0
great stuff fri marissa mayer google tim oreilly tech booksconferences amp matt mullenweg wordpress,google,1
new ipad apps speechtherapy communication showcased conference iear edchat asd,app,2
start ctia around corner googleio hop skip jump good time android fan,google,1
beautifully smart simple idea rt write hollergram ipad app,app,1
counting day plus strong canadian dollar mean stock apple gear,apple,1
excited meet show sprint galaxy still run android fail,android,1
find amp start impromptu party cant wait til android app come,android,1
foursquare ups game time still prefer far best look android app date,android,1
get ta love google calendar feature top party show case check rt via gt,google,1
great ipad app,app,1
haha awesomely rad ipad app hollergram,app,1
holler gram ipad itunes app store via,app,2
noticed dst come weekend many iphone user hour late come sunday morning iphone,iphone,0
added flight match people planesairports also download iphone app nicely do,app,1
must app rt lovely review forbes ipad app holler gram,app,1
need buy ipad im austin not sure ill need q austin apple store,app,1
oh god app ipad pure unadulterated awesome easy browse event ipad website,app,1
okay really yay new android app kthxbai,android,1
photo instal iphone app really nice,app,1
really enjoy change gowalla android look forward see else amp foursquare sleeve,android,1
rt im look forward smcdallas pre party wed hop ill win ipad result shameless promotion chevysmc,ipad,1
rt haha awesomely rad ipad app hollergram via,app,1
someone start austin group google group presxsw great idea,google,1
new sq look like go rock update iphone android push tonight keepaustinweird,iphone,1
right app android sweet nice job team,android,1
smart hollergram ipad app may leave vuvuzela home,app,1
must app ipad go hollergram,app,1
attn frineds register gdgtlive see cobra iradar android,android,2
anyone want sell old ipad,ipad,2
anyone buy new ipad want sell old ipad,ipad,2
ooh rt google launch major new social network call circle possibly today,google,2
best rt ha first line ipad quotpopupquot apple store event planner eventprofs pcma engage,app,1
spin play new concept music discovery ipad amp spincom itunes,app,2
false alarm google circle not come nowand probably not ever google circle social,google,0
vatornews google apple force print medium evolve,apple,2
great weather greet still need sweater nightapple put quotflash storequot downtown sell ipad,app,1
hootsuite hootsuite mobile update iphone blackberry amp android whether youre get friend,iphone,2
hey long think take u make iphone case answer use zazzlesxsw well make one,iphone,2
mashable ipad take video ipad gadget,ipad,2
ipad rt new ubersocial iphone app store include uberguide sponsor,app,2
ipad smartcover open instant access wait get one apple,app,1
handheld hobo drafthouse launch hobo shotgun iphone app,app,1
hooray rt apple open popup store austin,apple,1
orly google set launch new social network circle today,google,2
woo apple store downtown austin open til midnight,apple,1
khoi vinh say conde nast headlong rush ipad publishing quotfundamental misunderstandingquot platform,ipad,2
google connect digital amp physical world mobile,google,2
talk google effort allow user open system bettercloud,google,1
rt quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel,google,2
rt st stop chaos amp hunt austin java get spy game chance win ipad,ipad,1
rt check holler gram ipad app,app,2
amp fun google pic,google,2
quotvia guy kawasaki talk enchant know stuff book internet apple quot,apple,2
futuremf spec recipes web google search,google,2
omfg rt heard apples popup store downtown austin pic already gowalla ipad,app,1
smile rt think apple quotpopup storequot austin would lot interest actually know popped,apple,2
rt line apple store insane,apple,0
agree rt wait fiona apple town somebody kidnap put record studio record new album,apple,2
attend ipad design headache,ipad,0
boo rt flipboard develop iphone version not android say,iphone,0
check amp line ipad austin power sxswi,ipad,1
check rt give add value location base service needs battle checkin fatigue google pnid,google,2
rt come party w google tonight band food art ice cream nifty interactive map,google,1
haha rt news yahoocom loose search traffic new site googlecom doubt last tho w weird name,google,2
holla rt google party best ever get butt,google,1
love iphone case cant get phone fail,iphone,1
ipad rt droid amp mac rt agnerd confession use laptop ipad amp blackberry follow,ipad,2
new post iphone app make easy connect social network people meet,app,1
nice iphone app behave today crash yesterday ridiculous,app,1
nice rt apple open popup store ipad launch downtown austin via,app,2
nice rt hey apple fan get peek space thats slat popup apple store tomorrow,apple,1
one thing great get great earth face google company love sxwsi,google,1
thanks mention new speech ipad apps showcased conf sxswh sxsh,app,1
not provide iphone charger ive change mind go next year,iphone,0
wonder amp apple flashmob tcrnchfcsj ipad,app,2
xmas rt shiny new apps new book popup ipad store christmas nerd,app,1
yai rt new ubersocial iphone app store include uberguide sponsor cont,app,1
fast fun amp future google present search local mobile,google,1
gsdampm amp google industry party tonight see u austin welivehere gsdm,google,2
new buzz quot google launch major new social network call circle possibly today rt sxswquot,google,2
headline quotipad musthave gadget sxswquot hmm could see one come gadget,ipad,1
quotapple open popup store austin nerd town get new ipads wow,app,2
know quotdatavizquot translates quotsatanicquot iphone im sayin,iphone,0
quotgoogle launch checkins month agoquot check in ok check out future bizzy,google,1
quotgoogle launch checkins month agoquot check in ok check out future bizzy via,google,2
quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel,google,1
attend quotleft brain search google right brain search xquot bettersearch talk future search engine,google,2
hp open quotmobile parkquot amp content incubator apple construct quotpopupquot store,apple,2
kawasaki quotnot c lewis level reason apple continue existence evidence existence godquot bawling,apple,1
kawasaki quotpagemaker save applequot oh day jwtatl enchantment,apple,2
kawasaki quotpagemaker save applequot oh day jwtatl enchantment via,apple,1
spark android teamandroid award read,android,1
unbox apple apple store,apple,2
apple ipad great thought w japan apac region deal w earthquake amp tsunami trauma sxswi,app,1
apple school marketing expert cnet blog,apple,2
apple school marketing expert,apple,1
apple school marketing expert,apple,2
temporary apple store def not tent powerhouse gym,apple,1
temporary apple store th congress along happy hipster,apple,1
apple win open temporary store downtown austin support ipad launch good,app,1
ipad austin trend today fun nerdy nerd,ipad,1
funny austin trend not matter minute point least accord twitter iphone,iphone,2
christian ipad iphone devs want talk u maybe wk together cool app,app,1
ux ipad uxdes remember ultimately aware audience app target towards unexpected experience good,app,2
apple ipad take austin storm excited part mobile,app,1
haz ipad ifrom gr,ipad,1
stack ipads wait buy got mine no hassle apple handle perfectly,app,1
google mobile future elusive power via eurorscg sxswi,google,2
smallbiz need review play google placeswe get app thatlink seo,google,1
smallbiz need review play google placeswe get app thatlink seo,google,2
samsung sony follow apple hp lead austin atx,apple,2
samsung sony follow apple hp lead austin atx via rg,apple,2
take rt major south korean director get make movie entirely iphone,iphone,1
beautiful apple store pic,apple,1
q sxswi prep amaze pre push locally focus location base google own region billboard prchat,google,2
account need follow apps download iphone,app,2
head want sharegather contact info turn iphone business card broadcaster,iphone,2
head want sharegather contact info turn iphone,iphone,2
btw apple store sell g model vzw amp atampt,apple,2
temporary apple store apple sneaky usual,apple,1
anyone popup apple store austin thats get ta hop place today,apple,2
beta test interactive book ipad app moonbot studio louisiana cool app,app,1
apple day one see ton ipad,app,1
fastball give away two new ipad wifi g black apple cover tweet fo info sxswi attsxsw tonight bolt house,app,2
anyone chance check popup apple store wonder worth trek convention center,apple,2
ipad store sell everything except gig wifi white manage get,ipad,1
ipad store sell everything except gig wifi white also know white jean configuration,ipad,1
offer ipad promo ninjafinder user fan not suck not,ipad,1
austin conference google search interactive music film,google,2
anyone know apple selling ipad,app,2
anyone know apple store new shipment ipads yet,app,2
marc ecko launch iphone app autodial political change edreform edtech eduvc fightthepaddle,app,2
